grid_id,latitude,longitude,rainfall_scenario,rainfall_mm_h,display_expected_stage_max,expected_stage,expected_depth_class,scenario_expected_visible,flood_expected,flood_history_2022,flood_history_2023,flood_history,flood_history_recent,flood_history_old,history_polygon_count,history_recent_polygon_count,history_old_polygon_count,history_year_count,latest_history_year,years_since_latest_history,history_recency_score,distance_to_flood_area_m,scenario_risk_score,risk_grade,flood_label,scenario_flood_label
G0025,37.521577,127.028209,10mm/h,10,2,5,2.0~3.0m,0,1,1,0,1,1,0,9,9,0,1,2022,1,8.46,45.6,51,주의,1,1
G0026,37.526083,127.02818,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,4,4,0,1,2022,1,3.76,146.8,74,주의,1,1
G0027,37.53059,127.028152,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,131.1,40,낮음,1,1
G0028,37.535097,127.028123,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,400.0,6,낮음,0,0
G0029,37.538488,127.027888,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,720.8,4,낮음,0,0
G0030,37.486309,127.034968,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,77.7,36,낮음,1,1
G0031,37.49013,127.034189,10mm/h,10,2,0,none,0,0,1,0,1,1,0,5,5,0,1,2022,1,4.7,144.9,39,낮음,1,1
G0032,37.494559,127.034035,10mm/h,10,2,5,2.0~3.0m,0,1,1,0,1,1,0,59,59,0,1,2022,1,55.46,2.2,51,주의,1,1
G0033,37.499066,127.034007,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,8,8,0,1,2022,1,7.52,189.8,72,주의,1,1
G0034,37.503572,127.033979,10mm/h,10,2,0,none,0,0,1,0,1,1,0,10,10,0,1,2022,1,9.4,96.6,39,낮음,1,1
G0035,37.508079,127.033951,10mm/h,10,2,0,none,0,0,1,0,1,1,0,8,8,0,1,2022,1,7.52,28.1,40,낮음,1,1
G0036,37.512586,127.033923,10mm/h,10,2,0,none,0,0,1,0,1,1,0,7,7,0,1,2022,1,6.58,68.4,40,낮음,1,1
G0037,37.517092,127.033895,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,202.1,65,주의,1,1
G0038,37.521599,127.033867,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,146.0,40,낮음,1,1
G0039,37.526106,127.033839,10mm/h,10,2,3,1.0~1.5m,0,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,0.0,40,낮음,1,1
G0040,37.530612,127.033811,10mm/h,10,2,3,1.0~1.5m,0,1,0,0,0,0,0,0,0,0,0,0,99,0.0,5.5,15,낮음,1,0
G0041,37.535119,127.033783,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,267.8,7,낮음,0,0
G0042,37.537923,127.032854,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,562.8,5,낮음,0,0
G0043,37.483169,127.042523,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,41.6,8,낮음,0,0
G0044,37.486335,127.039835,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,9,9,0,1,2022,1,8.46,56.9,72,주의,1,1
G0045,37.490075,127.039719,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,153.5,65,주의,1,1
G0046,37.494581,127.039691,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,12,12,0,1,2022,1,11.28,21.0,73,주의,1,1
G0047,37.499088,127.039663,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,52.3,33,낮음,1,1
G0048,37.503595,127.039636,10mm/h,10,2,0,none,0,0,1,0,1,1,0,3,3,0,1,2022,1,2.82,130.5,39,낮음,1,1
G0049,37.508101,127.039608,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,225.9,35,낮음,1,1
G0050,37.512608,127.03958,10mm/h,10,2,0,none,0,0,1,0,1,1,0,4,4,0,1,2022,1,3.76,126.9,39,낮음,1,1
G0051,37.517115,127.039553,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,3,3,0,1,2022,1,2.82,119.8,74,주의,1,1
G0052,37.521621,127.039525,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,4,4,0,1,2022,1,3.76,12.7,73,주의,1,1
G0053,37.526128,127.039497,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,43,낮음,1,1
G0054,37.530635,127.03947,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,41,낮음,1,1
G0055,37.53476,127.039228,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,402.3,6,낮음,0,0
G0056,37.537389,127.036616,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,606.6,5,낮음,0,0
G0057,37.474226,127.048188,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,7.9,41,낮음,1,1
G0058,37.477159,127.046809,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,32,32,0,1,2022,1,30.08,0.0,73,주의,1,1
G0059,37.481226,127.045781,10mm/h,10,2,3,1.0~1.5m,0,1,1,0,1,1,0,16,16,0,1,2022,1,15.04,67.2,46,주의,1,1
G0060,37.48559,127.045402,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,7.5,66,주의,1,1
G0061,37.490096,127.045374,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,323.4,6,낮음,0,0
G0062,37.494603,127.045347,10mm/h,10,2,0,none,0,0,1,0,1,1,0,3,3,0,1,2022,1,2.82,181.7,38,낮음,1,1
G0063,37.49911,127.04532,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,323.0,6,낮음,0,0
G0064,37.503617,127.045293,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,142.8,40,낮음,1,1
G0065,37.508123,127.045265,10mm/h,10,2,0,none,0,0,1,0,1,1,0,3,3,0,1,2022,1,2.82,148.7,39,낮음,1,1
G0066,37.51263,127.045238,10mm/h,10,2,0,none,0,0,1,0,1,1,0,4,4,0,1,2022,1,3.76,65.7,40,낮음,1,1
G0067,37.517137,127.045211,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,41,낮음,1,1
G0068,37.521643,127.045183,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,17,17,0,1,2022,1,15.98,52.3,75,높음,1,1
G0069,37.52615,127.045156,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,299.2,6,낮음,0,0
G0070,37.530657,127.045128,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,112.8,40,낮음,1,1
G0071,37.53395,127.044675,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,409.9,6,낮음,0,0
G0072,37.46872,127.052353,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,497.2,5,낮음,0,0
G0073,37.472224,127.051727,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,6,6,0,1,2022,1,5.64,116.9,72,주의,1,1
G0074,37.476598,127.051111,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,47,47,0,1,2022,1,44.18,57.2,75,높음,1,1
G0075,37.481105,127.051084,10mm/h,10,2,3,1.0~1.5m,0,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,25.8,40,낮음,1,1
G0076,37.485611,127.051057,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,43,낮음,1,1
G0077,37.490118,127.05103,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,58.4,40,낮음,1,1
G0078,37.494625,127.051003,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,99.2,40,낮음,1,1
G0079,37.499131,127.050976,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,7,7,0,1,2022,1,6.58,52.2,72,주의,1,1
G0080,37.503638,127.050949,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,5,5,0,1,2022,1,4.7,82.6,72,주의,1,1
G0081,37.508145,127.050922,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,18,18,0,1,2022,1,16.92,89.8,74,주의,1,1
G0082,37.512652,127.050895,10mm/h,10,2,0,none,0,0,1,0,1,1,0,3,3,0,1,2022,1,2.82,142.4,39,낮음,1,1
G0083,37.517158,127.050868,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,118.1,40,낮음,1,1
G0084,37.521665,127.050841,10mm/h,10,2,1,~0.5m,1,1,1,1,1,1,0,2,2,0,2,2023,0,1.94,138.4,69,주의,1,1
G0085,37.526172,127.050814,10mm/h,10,2,3,1.0~1.5m,0,1,1,0,1,1,0,2,2,0,1,2022,1,1.88,0.0,43,낮음,1,1
G0086,37.530569,127.050675,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,223.3,42,낮음,1,1
G0087,37.533265,127.048929,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,491.7,5,낮음,0,0
G0088,37.469193,127.056552,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,553.7,5,낮음,0,0
G0089,37.472113,127.056793,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,304.6,32,낮음,1,1
G0090,37.476619,127.056766,10mm/h,10,2,3,1.0~1.5m,0,1,1,0,1,1,0,2,2,0,1,2022,1,1.88,32.7,43,낮음,1,1
G0091,37.481126,127.056739,10mm/h,10,2,3,1.0~1.5m,0,1,0,0,0,0,0,0,0,0,0,0,99,0.0,88.9,14,낮음,1,0
G0092,37.485633,127.056713,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,2,2,0,1,2022,1,1.88,18.8,71,주의,1,1
G0093,37.490139,127.056686,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,84.9,66,주의,1,1
G0094,37.494646,127.05666,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,96.7,66,주의,1,1
G0095,37.499153,127.056633,10mm/h,10,2,3,1.0~1.5m,0,1,1,1,1,1,0,20,20,0,2,2023,0,18.86,19.8,47,주의,1,1
G0096,37.50366,127.056606,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,2,2,0,1,2022,1,1.88,116.6,68,주의,1,1
G0097,37.508166,127.05658,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,3,3,0,1,2022,1,2.82,0.0,72,주의,1,1
G0098,37.512673,127.056553,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,146.1,33,낮음,1,1
G0099,37.51718,127.056526,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,164.3,33,낮음,1,1
G0100,37.521686,127.0565,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,0.0,66,주의,1,1
G0101,37.526193,127.056473,10mm/h,10,2,3,1.0~1.5m,0,1,0,0,0,0,0,0,0,0,0,0,99,0.0,93.7,14,낮음,1,0
G0102,37.529636,127.05574,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,350.3,6,낮음,0,0
G0103,37.469475,127.06227,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,717.1,4,낮음,0,0
G0104,37.472134,127.062447,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,473.7,5,낮음,0,0
G0105,37.47664,127.062421,10mm/h,10,2,0,none,0,0,1,0,1,1,0,15,15,0,1,2022,1,14.1,88.8,40,낮음,1,1
G0106,37.481147,127.062395,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,164.1,40,낮음,1,1
G0107,37.485654,127.062368,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,5,5,0,1,2022,1,4.7,57.2,72,주의,1,1
G0108,37.490161,127.062342,10mm/h,10,2,3,1.0~1.5m,0,1,0,0,0,0,0,0,0,0,0,0,99,0.0,101.5,14,낮음,1,0
G0109,37.494667,127.062316,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,15.7,66,주의,1,1
G0110,37.499174,127.062289,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,1,1,0,1,2022,1,0.94,214.6,65,주의,1,1
G0111,37.503681,127.062263,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,65.4,33,낮음,1,1
G0112,37.508187,127.062237,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,41,낮음,1,1
G0113,37.512694,127.06221,10mm/h,10,2,3,1.0~1.5m,0,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,15,낮음,1,0
G0114,37.517201,127.062184,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,4,4,0,1,2022,1,3.76,19.8,73,주의,1,1
G0115,37.521707,127.062158,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,375.7,6,낮음,0,0
G0116,37.525671,127.061658,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,423.5,6,낮음,0,0
G0117,37.528584,127.059491,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,460.4,6,낮음,0,0
G0118,37.469757,127.066196,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,588.8,5,낮음,0,0
G0119,37.472391,127.0679,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,306.1,6,낮음,0,0
G0120,37.476661,127.068076,10mm/h,10,2,0,none,0,0,1,0,1,1,0,4,4,0,1,2022,1,3.76,106.4,39,낮음,1,1
G0121,37.481168,127.06805,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,255.7,35,낮음,1,1
G0122,37.485675,127.068024,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,43.7,43,낮음,1,1
G0123,37.490181,127.067998,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,75.8,43,낮음,1,1
G0124,37.494688,127.067972,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,41,낮음,1,1
G0125,37.499195,127.067946,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,336.1,6,낮음,0,0
G0126,37.503567,127.067661,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,521.8,5,낮음,0,0
G0127,37.508143,127.067032,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,214.1,40,낮음,1,1
G0128,37.512634,127.066678,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,32.6,43,낮음,1,1
G0129,37.517115,127.066312,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,79.5,33,낮음,1,1
G0130,37.521629,127.065993,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,453.0,6,낮음,0,0
G0131,37.524611,127.065729,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,746.1,4,낮음,0,0
G0132,37.473364,127.072939,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,412.2,6,낮음,0,0
G0133,37.476683,127.073729,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,410.1,6,낮음,0,0
G0134,37.481188,127.073705,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,338.2,6,낮음,0,0
G0135,37.485695,127.073679,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,175.8,40,낮음,1,1
G0136,37.490202,127.073654,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,192.2,42,낮음,1,1
G0137,37.494709,127.073628,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,243.2,42,낮음,1,1
G0138,37.499215,127.073602,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,310.4,39,낮음,1,1
G0139,37.501943,127.072724,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,582.7,5,낮음,0,0
G0140,37.476956,127.079346,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,749.0,4,낮음,0,0
G0141,37.481209,127.07936,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,288.7,6,낮음,0,0
G0142,37.485715,127.079335,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,236.6,32,낮음,1,1
G0143,37.490222,127.07931,10mm/h,10,2,2,0.5~1.0m,1,1,1,0,1,1,0,6,6,0,1,2022,1,5.64,76.8,75,높음,1,1
G0144,37.494729,127.079284,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,4,4,0,1,2022,1,3.76,72.8,72,주의,1,1
G0145,37.49909,127.079148,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,169.4,42,낮음,1,1
G0146,37.501543,127.076858,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,395.4,6,낮음,0,0
G0147,37.469842,127.087736,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,957.1,3,낮음,0,0
G0148,37.472482,127.086458,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,1108.0,2,낮음,0,0
G0149,37.476889,127.085192,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,969.7,3,낮음,0,0
G0150,37.481229,127.085015,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,655.9,5,낮음,0,0
G0151,37.485735,127.08499,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,477.1,5,낮음,0,0
G0152,37.490242,127.084965,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,34,34,0,1,2022,1,31.96,30.0,73,주의,1,1
G0153,37.494749,127.08494,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,9,9,0,1,2022,1,8.46,0.0,73,주의,1,1
G0154,37.4984,127.084622,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,26.3,43,낮음,1,1
G0155,37.463518,127.092827,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,687.6,4,낮음,0,0
G0156,37.468214,127.091337,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,628.3,5,낮음,0,0
G0157,37.472235,127.09072,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,749.4,4,낮음,0,0
G0158,37.476742,127.090695,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,752.8,4,낮음,0,0
G0159,37.481248,127.09067,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,660.6,4,낮음,0,0
G0160,37.485755,127.090646,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,539.2,5,낮음,0,0
G0161,37.490262,127.090621,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,124.9,42,낮음,1,1
G0162,37.494769,127.090597,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,192.1,42,낮음,1,1
G0163,37.497644,127.089683,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,197.1,7,낮음,0,0
G0164,37.458879,127.097657,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,834.4,4,낮음,0,0
G0165,37.463244,127.096427,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,530.9,5,낮음,0,0
G0166,37.467748,127.096398,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,188.1,35,낮음,1,1
G0167,37.472254,127.096374,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,314.6,32,낮음,1,1
G0168,37.476761,127.09635,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,325.5,32,낮음,1,1
G0169,37.481268,127.096326,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,387.3,6,낮음,0,0
G0170,37.485775,127.096301,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,97.6,40,낮음,1,1
G0171,37.490281,127.096277,10mm/h,10,2,2,0.5~1.0m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,105.7,42,낮음,1,1
G0172,37.494429,127.09603,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,41.9,40,낮음,1,1
G0173,37.497051,127.093479,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,147.4,7,낮음,0,0
G0174,37.459585,127.101048,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,551.7,5,낮음,0,0
G0175,37.46329,127.10203,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,305.8,6,낮음,0,0
G0176,37.467767,127.102052,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,3,3,0,1,2022,1,2.82,112.4,71,주의,1,1
G0177,37.472274,127.102029,10mm/h,10,2,0,none,0,0,1,0,1,1,0,6,6,0,1,2022,1,5.64,173.0,39,낮음,1,1
G0178,37.47678,127.102005,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,326.9,6,낮음,0,0
G0179,37.481287,127.101981,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,51.8,33,낮음,1,1
G0180,37.485794,127.101957,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,90.3,40,낮음,1,1
G0181,37.490293,127.101924,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,11.2,41,낮음,1,1
